explanation,group,llm_likeness
A police sign may sometimes ask for witnesses of crimes to come forward.,old_human,0.027454014798915783
"The man is window shopping, which is usually done in public.",old_human,0.0410179146557537
Cheering infront of children is the same as cheering near children.,old_human,0.01684973526599128
You can not infer they are watching TV.,old_human,0.0036189837938932603
Just because the kangaroo is touched does not mean it wants to leave.,old_human,0.019715140457383606
Not all dogs jumping over the pole are participating in a competition. Not all dogs can take part in agility training.,old_human,0.014899690106611007
"To work at a computer, you must be in front of the computer.",old_human,0.02789661267066311
"If a man talks while holding a drink, he is holding a drink.",old_human,0.015227035780570266
A man laying on the ground doesn't mean that he is homeless.,old_human,0.014467603982138203
Every white house in front of which the man is performing need not be his own house,old_human,0.027518248083969608
"A dog is an animal, catching is a way of making contact, and a frisbee is a toy.",old_human,0.024349818659272722
People may not be nervous about riding on a ride.,old_human,0.007803854976293262
A woman does not imply that friends retire home.  Carrying food in baskets does not necessarily mean going to the farmer's market.,old_human,0.025061091002288267
We have no idea if she is cooking meat or something else.,old_human,0.010469097114123341
A man can lie down without sleeping.,old_human,0.010184226270350654
"Not every person climbs mountains, some are afraid and would not climb them.",old_human,0.0118280854567371
You cannot dance and be sleeping at the same time.,old_human,0.005205172275357335
Just because a boat is not moving does not mean it ran out of gas.,old_human,0.007812859647190728
"Not all gray shirts are t-shirts; just because a man has green things in his beard doesn't mean he drank too much beer or shouldn't drink a particular amount; we don't know whether he has even begun drinking, or whether he put the green things in his beard in the first place.",old_human,0.013563506045083395
Woman is lady.,old_human,0.021864296480842295
It not only a man who can take a photo.,old_human,0.012271963426656686
Either a teenager wears face paint or nobody has face paint.,old_human,0.01932906556600699
Hiking through the snow on a cold winter day can not happen at the same time as sunbathing on the beach.,old_human,0.02410167710244532
"If an animal is climbing a tree, it cannot also be walking in the grass.",old_human,0.01575383002992146
"A young boy is a child, and using a soccer ball implies playing.",old_human,0.02044994423814005
You can not infer her eyes are wide open.,old_human,0.008186571640680063
Having a break is a different activity than playing volleyball.,old_human,0.012526547200635837
People who are not professional photographers can use tripods.,old_human,0.007847418261138961
Holds a newspaper is a paraphrase of holding a newspaper.,old_human,0.02327279849851255
Children are sitting in chairs with a music stand in the background don't necessarily imply that the children are having fun at a birthday party.,old_human,0.05213142540620801
landscaping and gardening are ways of caring for lawns.,old_human,0.02098097297912894
"Army men are grill meat, and meat is an animal product.",old_human,0.023759034914600043
The subject is either a man or woman.,old_human,0.024508118764614242
Crowd of people is a crwod.,old_human,0.03005052414981409
The woman cannot simultaneously be wearing tops / skirts and post-it notes / leaves. Women don't wear post-it notes and leaves,old_human,0.019316217487148953
The man eating a marshmallow while someone else wants a bite.,old_human,0.02826873468584148
Green things someone pulls out of his beard are not necessarily little green men. To hover over one's beer bottle and Guinness glass pulling green things out of one's beard does not necessarily imply too much drinking.,old_human,0.016969987149687456
Just because his jersey is on the chair does not mean he is wearing his sport jersey.,old_human,0.016504691428424336
"""running in the grass."" is inferred as ""runs in the grass""",old_human,0.04617364279961491
Waiting in a metro station implies indoors.,old_human,0.016463530842069984
The older man is not necessarily bathing his grandchild.,old_human,0.015430922479153904
Just because there are horses doesn't mean the both are brown.,old_human,0.006221058785517886
The woman cannot be stapling some papers and working on the computer simultaneously.,old_human,0.02451401917635616
Jumping on the blocks need not be a desire to play.,old_human,0.022532041990924814
Track runners can brace to take off without competing to win a race.,old_human,0.023882568636638547
Just because swimmers jump into the pool it does not mean this is during a swim meet.,old_human,0.06261526630739864
"When someone is talking on the phone, they are talking to someone.",old_human,0.02513306658709017
The person can not be snowboarding around a snow covered mine and a football field,old_human,0.01156249294442601
"WE do not know that these women are taking place in a protest, they could also be police officers",old_human,0.009697085376582938
"The sports fans can either wear orange or yellow, or must be described as wearing a combination of both.",old_human,0.016624497422030954
A man with a group of children is not always their father.,old_human,0.03128663592909715
A man can have his arm around a woman without them smiling.,old_human,0.014350709487986946
A dog carrying an object in its mouth can be going anywhere and is not necessarily taking something to its owner.,old_human,0.011381428199529479
A man cannot be two people.,old_human,0.005386743665704517
"Both dogs are playing something together, like catch.",old_human,0.014943415025911462
"The people are either talking or shopping, and they are either on a dock or at the mall.",old_human,0.02272021581659916
swinging a bat is same as swinging a bat,old_human,0.011908729730280537
Traffic cannot be heavy if it it is not bad.,old_human,0.0032489755950419557
A girl standing in the middle of the street is not a boy collecting candy.,old_human,0.045178580712598386
A boy is punching out flashcards.,old_human,0.02618862477506098
"If the festivities brought many visitors and performers, it cannot be devoid of people.",old_human,0.012546210293246188
The flowers are red.,old_human,0.04020604455915059
A tree worker is wearing a hard hat on his head.,old_human,0.04000523891191117
Just because a man has on a leaf-patterned shirt doesn't mean he has pants on.,old_human,0.0066665216913275645
