explanation,group,llm_likeness,token_count
A police sign may sometimes ask for witnesses of crimes to come forward.,old_human,0.02415783924443898,13
"The man is window shopping, which is usually done in public.",old_human,0.049305529226049596,11
Cheering infront of children is the same as cheering near children.,old_human,0.019898849992563188,11
You can not infer they are watching TV.,old_human,0.004720021459162691,8
Just because the kangaroo is touched does not mean it wants to leave.,old_human,0.02101018852618503,13
Not all dogs jumping over the pole are participating in a competition. Not all dogs can take part in agility training.,old_human,0.018161399949918278,21
"To work at a computer, you must be in front of the computer.",old_human,0.025451981235962602,13
"If a man talks while holding a drink, he is holding a drink.",old_human,0.015990957620992927,13
A man laying on the ground doesn't mean that he is homeless.,old_human,0.01709209847510751,13
Every white house in front of which the man is performing need not be his own house,old_human,0.028920029892993963,17
"A dog is an animal, catching is a way of making contact, and a frisbee is a toy.",old_human,0.02520817166511997,18
People may not be nervous about riding on a ride.,old_human,0.009254431502305384,10
A woman does not imply that friends retire home.  Carrying food in baskets does not necessarily mean going to the farmer's market.,old_human,0.024781839949463792,23
We have no idea if she is cooking meat or something else.,old_human,0.011860862215570697,12
A man can lie down without sleeping.,old_human,0.013972185323445638,7
"Not every person climbs mountains, some are afraid and would not climb them.",old_human,0.013242671562616886,13
You cannot dance and be sleeping at the same time.,old_human,0.0062046824891445985,10
Just because a boat is not moving does not mean it ran out of gas.,old_human,0.009549351385817426,15
It not only a man who can take a photo.,old_human,0.013768575667453072,10
Either a teenager wears face paint or nobody has face paint.,old_human,0.020486078418594934,11
Hiking through the snow on a cold winter day can not happen at the same time as sunbathing on the beach.,old_human,0.02857582697646408,21
"If an animal is climbing a tree, it cannot also be walking in the grass.",old_human,0.01969148799560447,15
"A young boy is a child, and using a soccer ball implies playing.",old_human,0.023589868943317313,13
You can not infer her eyes are wide open.,old_human,0.010364981975781815,9
Having a break is a different activity than playing volleyball.,old_human,0.016954069829455708,10
People who are not professional photographers can use tripods.,old_human,0.00976262428179503,9
Holds a newspaper is a paraphrase of holding a newspaper.,old_human,0.026478374360833015,10
Children are sitting in chairs with a music stand in the background don't necessarily imply that the children are having fun at a birthday party.,old_human,0.05336845831455712,26
landscaping and gardening are ways of caring for lawns.,old_human,0.021394327500835374,9
"Army men are grill meat, and meat is an animal product.",old_human,0.026781426628821436,11
The subject is either a man or woman.,old_human,0.02873361189874099,8
The woman cannot simultaneously be wearing tops / skirts and post-it notes / leaves. Women don't wear post-it notes and leaves,old_human,0.020990866317866192,22
The man eating a marshmallow while someone else wants a bite.,old_human,0.030980566593988512,11
Green things someone pulls out of his beard are not necessarily little green men. To hover over one's beer bottle and Guinness glass pulling green things out of one's beard does not necessarily imply too much drinking.,old_human,0.016090243861760993,39
Just because his jersey is on the chair does not mean he is wearing his sport jersey.,old_human,0.019807762759430563,17
"""running in the grass."" is inferred as ""runs in the grass""",old_human,0.04981107243165735,11
Waiting in a metro station implies indoors.,old_human,0.019843517395386808,7
The older man is not necessarily bathing his grandchild.,old_human,0.02100526994821487,9
Just because there are horses doesn't mean the both are brown.,old_human,0.008614865335102166,12
The woman cannot be stapling some papers and working on the computer simultaneously.,old_human,0.027661632035848645,13
Jumping on the blocks need not be a desire to play.,old_human,0.023397851884658556,11
Track runners can brace to take off without competing to win a race.,old_human,0.024922682978649822,13
Just because swimmers jump into the pool it does not mean this is during a swim meet.,old_human,0.05865787101148631,17
"When someone is talking on the phone, they are talking to someone.",old_human,0.025756716463492826,12
The person can not be snowboarding around a snow covered mine and a football field,old_human,0.014212906783092411,15
"WE do not know that these women are taking place in a protest, they could also be police officers",old_human,0.011659261946166457,19
"The sports fans can either wear orange or yellow, or must be described as wearing a combination of both.",old_human,0.016704836290852475,19
A man with a group of children is not always their father.,old_human,0.033039497723073685,12
A man can have his arm around a woman without them smiling.,old_human,0.017267803054694632,12
A dog carrying an object in its mouth can be going anywhere and is not necessarily taking something to its owner.,old_human,0.011374383483200854,21
"Both dogs are playing something together, like catch.",old_human,0.019009851973345884,8
"The people are either talking or shopping, and they are either on a dock or at the mall.",old_human,0.023609520454391898,18
swinging a bat is same as swinging a bat,old_human,0.014281251259623168,9
Traffic cannot be heavy if it it is not bad.,old_human,0.004483824693893273,10
A girl standing in the middle of the street is not a boy collecting candy.,old_human,0.04884944312208262,15
"If the festivities brought many visitors and performers, it cannot be devoid of people.",old_human,0.011875318238455652,14
A tree worker is wearing a hard hat on his head.,old_human,0.03872725736543659,11
Just because a man has on a leaf-patterned shirt doesn't mean he has pants on.,old_human,0.009207628632573472,17
It is not known whether it is a random public act of indecency until mentioned that the photographer has angered him specifically.,old_human,0.033002925895010665,22
Someone dressed in summer clothing cannot possibly be dressed in winter clothing.,old_human,0.020562415483226903,12
The women cannot be playing volleyball and talking on the beach at once.,old_human,0.02553970604071078,13
He cannot be painting over a graffiti filled wall and scrubbing graffiti off the wall simultaneously.,old_human,0.014505176627402054,16
Butterfly stroke is done during swimming Female is a woman,old_human,0.029933954151836965,10
One cannot tell if a vest is warm simply by looking at it.,old_human,0.02364350546517054,13
We do not have any indication that the pitcher wants to strike out the last player on the team. We cannot infer the feelings of a photo that are not described.,old_human,0.04811789542115074,31
street means outside which means he is outside,old_human,0.014132056279410807,8
A police officer standing next his police motorbike holding a yellow safety jacket need not be getting ready for patrol.,old_human,0.018277737945537404,20
A man in dark clothing isn't necessarily a criminal.,old_human,0.022172908193305946,10
A bus isn't a buss. Things don't park in pools.,old_human,0.02094870834902476,12
Playing volleyball implies doesn't look like soccer.,old_human,0.015153982403523267,8
The dog is running because it is running very fast.,old_human,0.031936803094141174,10
