explanation,token_count,length_bin,group,llm_likeness
Sitting is not playing.,4,01-05,old_human,0.016967377978797687
On the grass implies outdoors.,5,01-05,old_human,0.2447370168483017
Vegetables are under a tent.,5,01-05,old_human,0.5816275983942679
A baby running is running.,5,01-05,old_human,0.6084015665313636
A photo is a picture.,5,01-05,old_human,0.6269319371883336
Man is guy.,3,01-05,old_human,0.747918374024899
either a dog or squirrels,5,01-05,old_human,0.03946824369647814
Not all people are friends.,5,01-05,old_human,0.03428584302948598
Girls are not boys.,4,01-05,old_human,0.0264255432396301
bikes can only be outside,5,01-05,old_human,0.02720717570564318
peoples are with bicycles,4,01-05,old_human,0.6893149363152351
A buss is a bus.,5,01-05,old_human,0.24885649451374667
Holding a mug implies liquid.,5,01-05,old_human,0.20528647777156364
young woman is young lady,5,01-05,old_human,0.6802782537467249
A donut is food.,4,01-05,old_human,0.39873666781694167
Several members are people.,4,01-05,old_human,0.5158105094860156
Men are not women.,4,01-05,old_human,0.043287071718048374
Outside is not inside.,4,01-05,old_human,0.016090525852524983
Not all men are brothers.,5,01-05,old_human,0.028931441730932924
Man and guy are synonyms,5,01-05,old_human,0.5797424019781802
Pug is dog.,3,01-05,old_human,0.39962719669063396
THE BOTH WORE LONG PANTS.,5,01-05,old_human,0.5427849982476834
Men are not giraffes.,4,01-05,old_human,0.009314102153678108
One cannot pull weeds indoors.,5,01-05,old_human,0.15446977955672145
A paper is something.,4,01-05,old_human,0.5644294913326062
A man is a person.,5,01-05,old_human,0.4813524263851205
The woods are outdoors.,4,01-05,old_human,0.5254567880789646
standing is same as stands,5,01-05,old_human,0.03107264864333659
Chases implies runs.,3,01-05,old_human,0.11837543272251973
navigates doesn't mean searching,5,01-05,old_human,0.021855735922512477
Beautiful sunny days are nice.,5,01-05,old_human,0.6970660561037388
bathing suits are not pajamas,5,01-05,old_human,0.10218186225458309
Not all people are tall.,5,01-05,old_human,0.04142221945012119
Not all man are sad,5,01-05,old_human,0.028678786318264864
Woman is lady.,3,01-05,old_human,0.467063027450935
Gymnasts versus cyclist.,3,01-05,old_human,0.6931740664196461
Both man are laughing.,4,01-05,old_human,0.36644322377915883
People gather in a building.,5,01-05,old_human,0.7489366634117327
Carrying versus lying.,3,01-05,old_human,0.6936465438532037
Not all entertainers are professional.,5,01-05,old_human,0.012419205440967198
A cellphone is for conversation.,5,01-05,old_human,0.4843387554694991
Collision implies accident.,3,01-05,old_human,0.06571527441845684
A man performs a song.,5,01-05,old_human,0.8385968219623258
A brown hoodie is brown.,5,01-05,old_human,0.6467496337104575
baby doesn't imply infant,5,01-05,old_human,0.08382750112755928
Drums are instrument.,3,01-05,old_human,0.5544217920759149
Food is in a restaurant.,5,01-05,old_human,0.7435872650027451
Four cyclists are cyclists.,4,01-05,old_human,0.6666551773150523
resting doesn't mean nap,5,01-05,old_human,0.030935381556436457
A group is a crowd.,5,01-05,old_human,0.5898010034631869
Food donations implies food collection.,5,01-05,old_human,0.14420155596077142
every dog is not brown,5,01-05,old_human,0.038820888357738996
Someone is a person.,4,01-05,old_human,0.34325931581569125
Young girl is talented child.,5,01-05,old_human,0.8130359630035765
Sasquatch is not a man.,5,01-05,old_human,0.009113535078420824
A duo means two people.,5,01-05,old_human,0.25737059135829526
White is not purple.,4,01-05,old_human,0.026712565748691304
Fight cannot be recital.,4,01-05,old_human,0.0033969180641605875
Young men are guys.,4,01-05,old_human,0.7130882132389508
A man is someone.,4,01-05,old_human,0.6910642529835231
Not all men a brothers.,5,01-05,old_human,0.008284770481644
Kids are children.,3,01-05,old_human,0.6455311640779586
A dog is the dog.,5,01-05,old_human,0.7091310563532874
"""Airborne "" implies riding.",3,01-05,old_human,0.013972646261764357
The mountain is snowcapped.,4,01-05,old_human,0.6632214167248798
A bag is something,4,01-05,old_human,0.5262782846234384
A child is a person.,5,01-05,old_human,0.28691790909687215
A couple are people.,4,01-05,old_human,0.39577035676708794
Vietnamese woman is a person,5,01-05,old_human,0.4410290378081076
Women can't be men.,5,01-05,old_human,0.023962583002431575
not all motorbikes are black.,5,01-05,old_human,0.016886439741066392
One man cannot be everyone.,5,01-05,old_human,0.011142128519451336
Work implies has a job.,5,01-05,old_human,0.11044125916059513
Not all people are police.,5,01-05,old_human,0.015044933802990075
A man is a guy.,5,01-05,old_human,0.747918374024899
Construction workers are two workers.,5,01-05,old_human,0.6118275523196803
Indy car implies race cars.,5,01-05,old_human,0.18171875220926056
The comb is pink.,4,01-05,old_human,0.6631614985273367
A skier requires snow.,4,01-05,old_human,0.6138282451771706
