premise,hypothesis,label,label_name,explanation
Two people standing next to a road looking off a hill.,Two people are outside.,0,entailment,"The hypothesis conflicts with the premise. The premise states A group of young boys in blue swimming suits attempt to jump into a pool to, which contradicts the claim that The boys are playing in the grass."
People up form their seats with two TVs hanging up displaying a cruse ship,There are people watching TV,0,entailment,The hypothesis is supported by the premise: A man camps outside with a tent and necessary camping gear. This is consistent with the claim that The man is outside.
A young boy climbing a tree in grassy hills.,A boy climbing a tree.,0,entailment,"The hypothesis conflicts with the premise. The premise states A small skinny black child hanging on a piece of wood looking at a white woman, which contradicts the claim that The child has his eyes closed."
A man in a black hat walks down the street.,The man is walking home.,1,neutral,"The hypothesis conflicts with the premise. The premise states A female in an orange sweatsuit walks down the street, which contradicts the claim that A woman in an orange jumpsuit was released from jail."
Five women in purple outfits wait outside.,the women are models,1,neutral,The hypothesis is supported by the premise: A boy in a blue shirt is blindfolded and holding a stick. This is consistent with the claim that boy holds stick.
A couple is walking in a building.,A couple is both wearing blue,1,neutral,"The premise gives related context (A volleyball player on the beach sets up to take a shot that was just returned), but it does not provide enough evidence to confirm or deny that The player about to return the ball is tired."
Children getting picked up from sports practice.,children getting done with sports practice,0,entailment,"The hypothesis conflicts with the premise. The premise states A man wearing a black shirt and jeans is bowling with a ball and 9 spray, which contradicts the claim that A man is eating the bowling ball."
A man in a cowboy hat leans backwards on the back of a rearing horse.,A horse rears and its handler leans back.,0,entailment,"The premise gives related context (Brown dog jumping off of a deck), but it does not provide enough evidence to confirm or deny that The dog is jumping off a deck to save his master."
A man is using his phone on a bus.,A man talking on a phone on a bus.,1,neutral,The hypothesis is supported by the premise: A person is walking on a sidewalk and a skeleton is on the left inside of. This is consistent with the claim that A person is out for a walk.
A man in a red shirt and a blue hat digs sand in front of a sand sculpture of a man sitting on a throne.,A man is creating a pathway to his sand sculpture.,1,neutral,"The hypothesis conflicts with the premise. The premise states Many children sit against a brick wall while an adult stands over them, which contradicts the claim that Children are playing outside at recess."
A man watching his dog standing on a dead tree trunk.,A man is watching his dog.,0,entailment,"The hypothesis conflicts with the premise. The premise states Three children are sitting around a table reading books, which contradicts the claim that None of the kids are reading."
These people are demonstrating for their leader.,People are marching with signs.,1,neutral,"The premise gives related context (a brown and white dog with a red collar getting on a trampoline), but it does not provide enough evidence to confirm or deny that The dog got on the trampoline to play."
A woman with a white purse walks across a gray platform in front of a tall building.,A woman goes to she her date for a meal.,1,neutral,"The premise gives related context (One white male is jumping over a line of white lawn chairs outside in a lawn), but it does not provide enough evidence to confirm or deny that A man is performing for money."
A homeless man stand between two pedestrians on a street corner.,The man is about to ask the people for change.,1,neutral,"The hypothesis conflicts with the premise. The premise states A man with glasses holding a statue's tail, which contradicts the claim that A couple is at a Christmas parade."
Man sets up a cart to sell his wares.,The man sells things to tourists by the beach.,1,neutral,"The premise gives related context (Women in green jacket with fur around the hood pushing red stroller down gravel path wooden), but it does not provide enough evidence to confirm or deny that A woman pushes a stroller with a baby."
"Many people standing outside of Bank of America, one unknown person with a sign.",people need their money,1,neutral,"The hypothesis conflicts with the premise. The premise states Many friendly riders in a bus enjoying each others company, which contradicts the claim that The people are walking on foot."
"There is a woman, who is all dressed up in a beautiful multicolored tutu with a tiara, doing a split in midair for a performance.",A woman is wearing a crown and a brown skirt,2,contradiction,"The hypothesis conflicts with the premise. The premise states one of the young is holding a baby in her arms, which contradicts the claim that Someone kicking a baby."
"A man taking a picture of several people, including a man in a lime green suit.","A man taking a picture of several big people,",1,neutral,"The premise gives related context (A man in khaki walking down a sidewalk), but it does not provide enough evidence to confirm or deny that The man nods at a passerby."
An old man riding his bike along the harbor with a cruise liner in the background.,An old man rides a bike on a sunny day near the beach.,1,neutral,"The premise gives related context (Two men sitting on chairs and talking), but it does not provide enough evidence to confirm or deny that Two old friends are talking over a beer."
East Asian woman with child holds drink glass.,A pregnant woman holds a glass.,0,entailment,"The premise gives related context (The men wear ear protection as one of them lifts up the outer shell of the), but it does not provide enough evidence to confirm or deny that The men are racing fast."
Three women dance down the city street.,three people are dancing.,1,neutral,"The premise gives related context (Gray and black dogs running away down forest path), but it does not provide enough evidence to confirm or deny that two dogs are running away."
A toddler boy being cute and pointing.,A baby has all it's fingers in it's mouth.,2,contradiction,"The premise gives related context (A young child with ringlet curls laying in a grassy area blows dandelion fuzz off a), but it does not provide enough evidence to confirm or deny that A young child with ringlet curls laying in a grassy area blows dandelion fuzz off a."
Two men both wearing cowboy hats and ponchos riding horses chasing a cow.,The men are chasing a pig,2,contradiction,The hypothesis is supported by the premise: it looks to be a glass maker heating up some glass to make something while visitors. This is consistent with the claim that Glass is heating up.
Four children playing on a sculpture of a bear.,Old ladies are gathered for tea.,2,contradiction,The hypothesis is supported by the premise: A woman in a blue shirt and skirt stands next to a maroon car. This is consistent with the claim that A women stands next to a car.
A young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,"A young child is outside, petting a deer.",0,entailment,"The hypothesis conflicts with the premise. The premise states A blond woman in a dark beige scarf and jean jacket watches a man in a, which contradicts the claim that The woman is cooking food."
The man in the black shirt made the lady laugh.,The man told a funny joke.,1,neutral,The hypothesis is supported by the premise: Race dogs run their fastest down a sandy track. This is consistent with the claim that The race dogs prefer a sandy track.
a tan dog jumping through the field with some barren trees in the background,a tan dog walking in the fields with some trees nearby,2,contradiction,The hypothesis is supported by the premise: A man and a woman with bikes at a park. This is consistent with the claim that A man and a woman are outdoors.
A person in yellow pants and a black shirt is skiing down a hill.,A person in yellow pants and a black shirt is skiing down a hill and going fast,1,neutral,"The premise gives related context (A woman standing in front of the machines at a laundromat), but it does not provide enough evidence to confirm or deny that A woman is doing her laundry."
A man wearing red pants is balancing on a blue sculpture.,A man is balancing.,0,entailment,"The premise gives related context (Two kids fishing near a river), but it does not provide enough evidence to confirm or deny that The kids are fishing by the river."
A woman is pushing a cart with luggage down a street.,A woman is at the airport.,1,neutral,The hypothesis is supported by the premise: A woman and girl wearing traditional clothes sits on the front lawn reading from a book. This is consistent with the claim that People in clothes.
The man with the big drum is marching next to a boy with a small drum.,"Two drummers, adult and child, march abreast.",0,entailment,"The premise gives related context (A lady sitting in a chair and a man sitting next to her on the floor), but it does not provide enough evidence to confirm or deny that A lady sits in a chair next to her husband relaxing."
Man in a plaid shirt jumping on some rocks that make him appear to be soaring over a valley.,A man is on a bus,2,contradiction,"The hypothesis conflicts with the premise. The premise states A naked baby and toddler smear each other in paint, which contradicts the claim that The baby and toddler are taking a nap."
A child holds a pink kite in the middle of a pedestrian walkway while a man in a pink shirt and blue pants walks in the background.,The man and the child are standing in the desert.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A dark haired man in his twenties drinks a green liquid from a plastic mug, which contradicts the claim that The man is eating a bagel."
A merchant in a red shirt sells produce at a farmers market in a park.,A clerk sells products at the market.,0,entailment,"The hypothesis conflicts with the premise. The premise states Lady in a black T shirt standing with others, which contradicts the claim that A woman is sitting in the middle of a crowd."
A skateboarder becomes airborne at the top of a black and yellow ramp.,A skateboarder skates down a red rail.,2,contradiction,"The premise gives related context (people are posing for a picture on a bunch of rocks near a shed), but it does not provide enough evidence to confirm or deny that Someone almost fell off the rocks."
a little boy playing with his toys.,A little boy is playing with toys.,0,entailment,The hypothesis is supported by the premise: A man skateboards down a steep railing next to some steps. This is consistent with the claim that The skateboarder was being very daring.
A lady and two elderly people are slicing cheese.,people are making dinner,1,neutral,The hypothesis is supported by the premise: A female long jumper in mid jump at the course. This is consistent with the claim that A female jumper is in mid jump at a course.
"A bride and groom during their wedding ceremony are surrounded by a crowd, in front of a brick building.",The nuptials took place outdoors in a garden.,1,neutral,The hypothesis is supported by the premise: A man in a blue shirt is bowling. This is consistent with the claim that Someone has a blue shirt.
A man on the subway holds his bags and looks at a book.,The man is riding the subway.,0,entailment,"The premise gives related context (Three people stand in line waiting to buy something to eat at a fair booth selling), but it does not provide enough evidence to confirm or deny that Three people are hungrily awaiting their food."
A graceful basketball player stands at the two point line as she throws the ball.,A basketball player takes a shot,0,entailment,"The hypothesis conflicts with the premise. The premise states People standing outside of an Irish Pub, which contradicts the claim that People are sitting on a park bench."
A man in a black shirt is taking pictures in a crowd.,A photographer takes pictures of an event.,1,neutral,The hypothesis is supported by the premise: A man and dog walk down cement steps while a woman in a headscarf looks on. This is consistent with the claim that A man and woman walk.
An Asian couple kisses during their wedding.,The wedding was inside.,1,neutral,"The premise gives related context (A woman wearing a blue black and white two piece bathing suit is sitting outside with), but it does not provide enough evidence to confirm or deny that A woman in a bikini enjoying the company of other man talking to them with a."
A surfer rides a breaking wave.,A surfer eats some cereal.,2,contradiction,"The premise gives related context (Young boy drifting in small canoe on a calm blue river), but it does not provide enough evidence to confirm or deny that A boy is enjoying nature during a peaceful canoe ride on the river."
The people in winter clothing are getting ready to start skiing.,The people are a family,1,neutral,"The hypothesis conflicts with the premise. The premise states A white dog runs through the snow with a Mountain Dew bottle, which contradicts the claim that A dog is running through the sand on a beach."
Motorcyclists with white helmets in a parking lot.,There is a motorcyclist with a white helmet because that's the only helmet they own.,1,neutral,"The hypothesis conflicts with the premise. The premise states People at some type of outdoors fair, which contradicts the claim that A group of people standing in front of a church."
A black dog is in the grass with a woman in jeans.,A black dog sits in the grass with its owner.,1,neutral,"The hypothesis conflicts with the premise. The premise states A black dog running through a long orange tunnel, which contradicts the claim that A cat plays with a ball of yarn."
A man in an Easter Bunny costume is handing out candy to children.,A man is wearing a costume.,0,entailment,The hypothesis is supported by the premise: A young girl wearing a white bathrobe stands by a door. This is consistent with the claim that A girl is standing.
"A motorcycle rider, with a black ""Glory Bound"" vest and black helmet, rides away on his orange motorcycle.",The motorcycle rider forgot his helmet.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A small girl stands among many large watermelons, which contradicts the claim that There is a girl sitting near the watermelon."
An individual in blue pants is standing on a step ladder while two others look in the same direction as the man on the ladder.,a man is pointing something out to them,1,neutral,The hypothesis is supported by the premise: A man plays a keyboard and sings. This is consistent with the claim that A man performs a song.
A helmeted boy on a bike flies through the air as he rides among dirt hills with a river in the background.,they are sitting on a train,2,contradiction,The hypothesis is supported by the premise: Two children play on a stone railing while a third catches a green ball. This is consistent with the claim that Children are playing.
"A man in a yellow shirt and blue jeans is passed out, sleeping, dead or resting his eyes on a sidewalk.",A homeless man is sleeping on the sidewalk,1,neutral,"The premise gives related context (A person wearing a hat stands in a bright greenish yellow field holding reins which are), but it does not provide enough evidence to confirm or deny that The field grass is high."
"A person is standing in front of a counter, that has animals to the side.",The animals are dogs.,1,neutral,"The hypothesis conflicts with the premise. The premise states An African American in brightly colored clothing talks on a cellphone on a busy street, which contradicts the claim that A person is talking on a landline."
A girl in karate uniform breaking a stick with a front kick.,A girl is doing a karate test.,1,neutral,The hypothesis is supported by the premise: A stoplight is yellow next to a pedestrian crossing sign. This is consistent with the claim that The light is yellow.
People are holding flag and walking.,A person is standing still.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A young man and woman demonstrating a difficult and compromising dance pose, which contradicts the claim that A young gay couple demonstrating a difficult and compromising dance pose."
Two boys fighting at the vending machines.,Two boys are fighting.,0,entailment,"The premise gives related context (A woman in a green dress is walking on a sidewalk while a man in a), but it does not provide enough evidence to confirm or deny that The man was waiting for the woman to get home."
The ripples in the water reflect the sunlight.,The water is still.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A child sliding down a orange slide, which contradicts the claim that A child swinging on a swing."
A blond man in a blue shirt inspects his tennis racket with his fingers.,A blond man in a blue shirt touches his tennis racket.,0,entailment,"The hypothesis conflicts with the premise. The premise states Children one with a stick and six petting a dog with a blue leash, which contradicts the claim that Children bath a dog."
A woman in a gray shirt and black Capris is running along a road.,The woman is naked.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A male wearing headphones and standing in front of a microphone, which contradicts the claim that A girl walks outside."
A counter person looks on at a food court.,The lady is walking down the street.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A black and white image of a jogger running in the rain on a street after, which contradicts the claim that A man sits at a restaurant eating a baked potato."
A sleeping man lying on his side on the sidewalk wearing soiled clothes and unkempt hair.,The man is asleep outside.,0,entailment,The hypothesis is supported by the premise: This New York street has a Mercedes on it. This is consistent with the claim that A car is in the street.
Three females and one male are walking at the edge of a road.,Two men are sitting beneath a tree.,2,contradiction,The hypothesis is supported by the premise: A brown and white dogs stands in front of a wooden building while tennis balls fly. This is consistent with the claim that A dog is standing near a place where people are playing with tennis balls.
Older women wearing a headscarf and clothes of varying colors staring forward.,Women staring forward.,0,entailment,The hypothesis is supported by the premise: There is a woman and man wearing orange shirts playing instruments with sheet paper in front. This is consistent with the claim that There is people playing instruments.
A woman with the name Steph on her yellow shirt is participating in a running race with other racers.,"Racers run in a race, including a woman in yellow whos shirt says Steph.",0,entailment,"The hypothesis conflicts with the premise. The premise states Three football players in navy blue and yellow uniforms are running down a football field one, which contradicts the claim that Three players are chasing the soccer ball."
A thoughtful woman walks down a metropolitan side street.,A woman is thinking about the day coming up.,1,neutral,"The hypothesis conflicts with the premise. The premise states Two men holding up a sign saying Yes Mr President Let's bring Honest Tea to Wall, which contradicts the claim that The men are yelling through a bullhorn."
Many people wearing blue jackets are marching down a street.,Many people are wearing jackets on a street marching in a parade.,1,neutral,"The premise gives related context (The little girl swings in the backyard), but it does not provide enough evidence to confirm or deny that a girl plays on a rope swing."
Several children sit on a carnival ride in front of the face of a clown and several fake balloons.,A carnival for dogs opens its doors today.,2,contradiction,The hypothesis is supported by the premise: Three women are outdoors praying. This is consistent with the claim that There were three woman outside.
two men at a little league baseball game talking on the field.,A few people are talking while playing basketball.,2,contradiction,"The hypothesis conflicts with the premise. The premise states Two teams one in blue and once in white are tackling each other to get control, which contradicts the claim that The two teams are shaking hands."
Physically challenged men in wheelchairs engaging in a sporting event.,A man in a wheelchair is watching television.,2,contradiction,The hypothesis is supported by the premise: A man with a blue shirt is working on building a roof. This is consistent with the claim that A man in a blue shirt is building something.
The white dog leaping over a snow covered log.,The dog is outside,0,entailment,"The premise gives related context (Three women are running through a puddle and there are two women behind them), but it does not provide enough evidence to confirm or deny that All 5 ladies run through the puddle at some point."
"Girl touches young man's face as young man in pink shirt observes, leafy background.",The family is outside in the fall weather.,1,neutral,"The premise gives related context (A woman is serving food outside on a busy street), but it does not provide enough evidence to confirm or deny that there is no gender descrimination in food market."
"A man drives a motorcycle in a wooded area, with another driver standing to the side.",The man is racing his friend.,1,neutral,"The hypothesis conflicts with the premise. The premise states A man in a hat is covered in concert silly string, which contradicts the claim that The man is dripping pink slime from his nose."
Musicians play at night in front of an old-looking building.,Musicians are performing in front of a building.,0,entailment,The hypothesis is supported by the premise: A group of men and women in military uniform. This is consistent with the claim that The military personnel are in uniform.
A boy wearing a blue shirt is looking at a plant.,the boy is outdoors,1,neutral,"The premise gives related context (a group of young girls smiling with a large crowd behind them), but it does not provide enough evidence to confirm or deny that There is a group of young girls smiling because they just ate candy."
Here is a picture of a man with long hair in a ponytail who works at this state park.,Here is a picture of a worker that has long hair.,1,neutral,"The premise gives related context (A person in a white jumpsuit is using a hose to wash down a tiled floor), but it does not provide enough evidence to confirm or deny that A person in a white jumpsuit is using a hose to wash down a tiled floor."
The gondola is poling his boat in the canal.,The boat is actually a jetski,2,contradiction,The hypothesis is supported by the premise: A peasant woman sells a variety of vegetables on the street. This is consistent with the claim that A woman sells vegetables.
Two young boys sitting in French apple boxes while in a living area.,Two young boys are sitting.,0,entailment,The hypothesis is supported by the premise: An Asian man wearing black and red clothes and shoes dribbles a basketball on a court. This is consistent with the claim that An Asian man dribbles a basketball.
A tall man in a gray suit walking towards the train.,A man is walking towards the train.,0,entailment,The hypothesis is supported by the premise: A person who could be either male or female is doing a stunt jump on a. This is consistent with the claim that A person is riding a bike.
"Two younger women, one holding a small blond girl on her lap, watch as an elderly woman plays Chinese checkers against an opponent in a blue shirt whose back is to the camera.",the women are making cupcakes at home,2,contradiction,The hypothesis is supported by the premise: Many people are sitting around a tent outside. This is consistent with the claim that Group of people sitting around outside of a tent.
"Two donkeys pulling a cart, carrying green bushes, as well as carrying people on it.",The donkey is pulling a cart outside.,0,entailment,The hypothesis is supported by the premise: A young man in sunglasses holds a blue cup next to a grill with sausages. This is consistent with the claim that A young man is wearing sunglasses.
Little boy wearing a multicolored scarf and hat has a sad look on his face as he is looking down.,The little boy is upset about something.,1,neutral,"The premise gives related context (Green shirted man singing at a microphone wearing a white and silver shiny hat), but it does not provide enough evidence to confirm or deny that The man was really good at karaoke."
A woman wearing a long black sweater is standing near a pink bike on the sidewalk.,a policeman was there to avoid any vehicle to stand on the sidewalk,2,contradiction,"The hypothesis conflicts with the premise. The premise states A man with a black shirt is repairing a laptop, which contradicts the claim that A woman is typing on her brand new laptop."
A young (Asian) woman wearing sunglasses and a tan coat is smiling and hugging a wooden robot.,A woman left her husband to be with a robot.,1,neutral,The hypothesis is supported by the premise: A man grinding the lip of a pool on his Rollerblades. This is consistent with the claim that A man is grinding in his rollerblades.
Two teams in rollerskates play hockey with a ball.,rollerskaters play hockey,0,entailment,The hypothesis is supported by the premise: A middle aged man presents a spreadsheet on powerpoint. This is consistent with the claim that A middle aged man is giving a presentation.
Two women on bicycles kiss each other.,Two people are in love.,1,neutral,"The hypothesis conflicts with the premise. The premise states A shirtless man in blue jeans runs down a dock towards the camera, which contradicts the claim that A shirtless man reads a book on the couch."
A man in a gray shirt sits back in a chair.,The man sits.,0,entailment,"The premise gives related context (A boy is riding on an orange bodyboard in the ocean), but it does not provide enough evidence to confirm or deny that A boy is playing in the ocean."
A boy in a camouflage coat is jumping onto a snowboard.,The girl is jumping on the snowboard.,2,contradiction,"The hypothesis conflicts with the premise. The premise states An Asian woman holding a fan watches traffic go by, which contradicts the claim that the woman has a knife."
"A black dog, with a tennis ball in its mouth, swims through water.",The dog just fetched it's tennis ball.,1,neutral,The hypothesis is supported by the premise: Two men with hard hats are talking. This is consistent with the claim that Some workers conversing.
Three kids palying with a toy cat in a garden.,The children are laughing and having fun.,1,neutral,"The hypothesis conflicts with the premise. The premise states Man in blue shirt and black pants is looking at his thumb on one hand while, which contradicts the claim that The man has no hands."
Women sitting on a bench waiting for her laundry,the women are sitted,0,entailment,"The premise gives related context (A shirtless man is walking through a tunnel of people), but it does not provide enough evidence to confirm or deny that A guy is walking to the crowded beach."
A man in gray sits and watches a waterfall from a rock.,A male in gray sits and watches a waterfall from a rock.,0,entailment,The hypothesis is supported by the premise: A man in a blue shirt sits in a room with a lot of medical equipment. This is consistent with the claim that The man is indoors.
A woman on a racetrack with her head pointing down screaming.,The woman just lost all of her lifes worth in a bet.,1,neutral,"The hypothesis conflicts with the premise. The premise states Two women are standing outside looking at something with funny expressions on their faces while the, which contradicts the claim that The women are standing in the kitchen."
a man in a black polo shirt holds an infant in a white blanket.,a man is the father of the baby he holds,1,neutral,The hypothesis is supported by the premise: Young boy playing basketball in a stadium. This is consistent with the claim that there is a sport player.
