explanation,question,answer,system,correct_label,complete_label,ebr_num,split,source
"While factually correct, this is an incredibly lazy answer that misses key facts",how do they listen?,They use seismometers.,davinci,correct,missing_major,20.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
The answer is correct and complete.,how do they listen?,They use seismometers.,davinci,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
This machine response is marked as correct and mentioning all relevant information from the document.,how do they listen?,They use seismometers.,davinci,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
"This is technically correct, but misses a lot of detail",how do they listen?,They use seismometers.,davinci,correct,missing_major,40.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
The answer is correct and complete.,how do they listen?,They use seismometers.,davinci,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
This is a valid answer,how do they listen?,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,gpt4,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
Sentence 12-14 confirms the machine response.,how do they listen?,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,gpt4,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
The answer is correct and complete.,how do they listen?,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,gpt4,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
This machine response is marked as correct and mentioning all relevant information from the document.,how do they listen?,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,gpt4,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
This is a valid answer,how do they listen?,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,gpt4,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
This is a sufficient answer,how do they listen?,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,text-davinci-003_few_shot,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
Seismometers are used to measure waves.,how do they listen?,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,text-davinci-003_few_shot,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
"The response missed the ways they recognized the noises, as per sentences 10,11,12,13,14.",how do they listen?,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,text-davinci-003_few_shot,irrelevant,missing_major,50.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
Sentences 13 and 14 contain the relevant info to answer the question and the answer appropriately uses this information in its response.,how do they listen?,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,text-davinci-003_few_shot,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
This is a valid answer,how do they listen?," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",text-davinci-003_zero_shot,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
Machine response added information not present in the article. Article did not explain what a seismometer was but the machine response included that information.,how do they listen?," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",text-davinci-003_zero_shot,irrelevant,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
The question is answered sufficiently,how do they listen?," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",text-davinci-003_zero_shot,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
The answer is correct and complete.,how do they listen?," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",text-davinci-003_zero_shot,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
The answer is correct and complete.,how do they listen?," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",text-davinci-003_zero_shot,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
The real answer was missed in the article,why do ocean waves get in the way?,The answer is that ocean waves are not in the way. Ocean waves are used to simulate the ground motion that occurs in real earthquakes.,davinci,irrelevant,missing_all,0.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
Researchers once thought the waves got in the way but they have found a way to use them to their advantage.,why do ocean waves get in the way?,The answer is that ocean waves are not in the way. Ocean waves are used to simulate the ground motion that occurs in real earthquakes.,davinci,correct,complete,100.0,local_csv,local_csv:/Users/sikandarali/Documents/NLP_Project/data/raw/ebr_feedback.csv
