explanation,group,llm_likeness
A police sign may sometimes ask for witnesses of crimes to come forward.,old_human,0.24515728964760095
"The man is window shopping, which is usually done in public.",old_human,0.6377722382604362
Cheering infront of children is the same as cheering near children.,old_human,0.5002982840810845
You can not infer they are watching TV.,old_human,0.15240459237156537
Just because the kangaroo is touched does not mean it wants to leave.,old_human,0.25562762796270516
Not all dogs jumping over the pole are participating in a competition. Not all dogs can take part in agility training.,old_human,0.6050905490087883
"To work at a computer, you must be in front of the computer.",old_human,0.5943295377158685
"If a man talks while holding a drink, he is holding a drink.",old_human,0.7272824568522294
A man laying on the ground doesn't mean that he is homeless.,old_human,0.21371592049059498
Every white house in front of which the man is performing need not be his own house,old_human,0.1737205043789622
"A dog is an animal, catching is a way of making contact, and a frisbee is a toy.",old_human,0.8614146741066131
People may not be nervous about riding on a ride.,old_human,0.20293845487987067
A woman does not imply that friends retire home.  Carrying food in baskets does not necessarily mean going to the farmer's market.,old_human,0.4884423721792006
We have no idea if she is cooking meat or something else.,old_human,0.15400541665835218
A man can lie down without sleeping.,old_human,0.17968674617254857
"Not every person climbs mountains, some are afraid and would not climb them.",old_human,0.5377324441530559
You cannot dance and be sleeping at the same time.,old_human,0.257507767842464
Just because a boat is not moving does not mean it ran out of gas.,old_human,0.1534658131389304
"Not all gray shirts are t-shirts; just because a man has green things in his beard doesn't mean he drank too much beer or shouldn't drink a particular amount; we don't know whether he has even begun drinking, or whether he put the green things in his beard in the first place.",old_human,0.6586532228389488
Woman is lady.,old_human,0.2888113286289408
It not only a man who can take a photo.,old_human,0.18178921062215447
Either a teenager wears face paint or nobody has face paint.,old_human,0.36035914542456937
Hiking through the snow on a cold winter day can not happen at the same time as sunbathing on the beach.,old_human,0.22115260317131194
"If an animal is climbing a tree, it cannot also be walking in the grass.",old_human,0.522480139507398
"A young boy is a child, and using a soccer ball implies playing.",old_human,0.6083300814191608
You can not infer her eyes are wide open.,old_human,0.12442447291735662
Having a break is a different activity than playing volleyball.,old_human,0.47878368197851545
People who are not professional photographers can use tripods.,old_human,0.2814177120464477
Holds a newspaper is a paraphrase of holding a newspaper.,old_human,0.6408877087523881
Children are sitting in chairs with a music stand in the background don't necessarily imply that the children are having fun at a birthday party.,old_human,0.38301547499607136
landscaping and gardening are ways of caring for lawns.,old_human,0.3998611467489814
"Army men are grill meat, and meat is an animal product.",old_human,0.5803817729505624
The subject is either a man or woman.,old_human,0.30270768034760065
Crowd of people is a crwod.,old_human,0.3260984789361623
The woman cannot simultaneously be wearing tops / skirts and post-it notes / leaves. Women don't wear post-it notes and leaves,old_human,0.6864025179945764
The man eating a marshmallow while someone else wants a bite.,old_human,0.3014243349244486
Green things someone pulls out of his beard are not necessarily little green men. To hover over one's beer bottle and Guinness glass pulling green things out of one's beard does not necessarily imply too much drinking.,old_human,0.46862951932440855
Just because his jersey is on the chair does not mean he is wearing his sport jersey.,old_human,0.2788512017794404
"""running in the grass."" is inferred as ""runs in the grass""",old_human,0.8350140799485569
Waiting in a metro station implies indoors.,old_human,0.3083178184721547
The older man is not necessarily bathing his grandchild.,old_human,0.2814439023934673
Just because there are horses doesn't mean the both are brown.,old_human,0.3232754041960609
The woman cannot be stapling some papers and working on the computer simultaneously.,old_human,0.4804634481521162
Jumping on the blocks need not be a desire to play.,old_human,0.23792639762866086
Track runners can brace to take off without competing to win a race.,old_human,0.22239191744078432
Just because swimmers jump into the pool it does not mean this is during a swim meet.,old_human,0.17341392581515927
"When someone is talking on the phone, they are talking to someone.",old_human,0.7232215291568976
The person can not be snowboarding around a snow covered mine and a football field,old_human,0.29172431737188337
"WE do not know that these women are taking place in a protest, they could also be police officers",old_human,0.40015417575708223
"The sports fans can either wear orange or yellow, or must be described as wearing a combination of both.",old_human,0.5509330765978637
A man with a group of children is not always their father.,old_human,0.3285995476441066
A man can have his arm around a woman without them smiling.,old_human,0.17718120195023868
A dog carrying an object in its mouth can be going anywhere and is not necessarily taking something to its owner.,old_human,0.26302482925983073
A man cannot be two people.,old_human,0.23856920414763375
"Both dogs are playing something together, like catch.",old_human,0.5442303043089712
"The people are either talking or shopping, and they are either on a dock or at the mall.",old_human,0.6906929440237934
swinging a bat is same as swinging a bat,old_human,0.5182667542724879
Traffic cannot be heavy if it it is not bad.,old_human,0.32271587366225185
A girl standing in the middle of the street is not a boy collecting candy.,old_human,0.3223994490223032
A boy is punching out flashcards.,old_human,0.2950672367410296
"If the festivities brought many visitors and performers, it cannot be devoid of people.",old_human,0.6977306316252567
The flowers are red.,old_human,0.38402193771599835
A tree worker is wearing a hard hat on his head.,old_human,0.2260073977005113
Just because a man has on a leaf-patterned shirt doesn't mean he has pants on.,old_human,0.2726406908639468
It is not known whether it is a random public act of indecency until mentioned that the photographer has angered him specifically.,old_human,0.39984565616137513
Someone dressed in summer clothing cannot possibly be dressed in winter clothing.,old_human,0.5796327971566173
The women cannot be playing volleyball and talking on the beach at once.,old_human,0.3877316372874238
He cannot be painting over a graffiti filled wall and scrubbing graffiti off the wall simultaneously.,old_human,0.45860558066331164
Butterfly stroke is done during swimming Female is a woman,old_human,0.3684660274750934
One cannot tell if a vest is warm simply by looking at it.,old_human,0.1979403297524861
We do not have any indication that the pitcher wants to strike out the last player on the team. We cannot infer the feelings of a photo that are not described.,old_human,0.441420674548178
street means outside which means he is outside,old_human,0.4656897648781687
A police officer standing next his police motorbike holding a yellow safety jacket need not be getting ready for patrol.,old_human,0.3076026210499618
A man in dark clothing isn't necessarily a criminal.,old_human,0.29385848628539996
A bus isn't a buss. Things don't park in pools.,old_human,0.4033917220627197
Playing volleyball implies doesn't look like soccer.,old_human,0.1955565168855367
The dog is running because it is running very fast.,old_human,0.48577558896988077
A road crew would not be sitting around a conference table.  A group of men would not be working on a road with equipment.,old_human,0.5968280807744621
Lying on the grass of rugby field is a man holding a ball.,old_human,0.24366584180393536
Not just because a man has paint on his face doesn't mean he painted his face for a Halloween event,old_human,0.17132819932593174
The young man is either sitting under a tree or playing basketball.,old_human,0.26826108566101015
Standing near rail tracks does not imply they are about to repair them.,old_human,0.17163224811424183
A blond boy is a type of boy.,old_human,0.41231679101946694
"A kid can play outside too, not just inside the house.",old_human,0.37446843530349994
"In there water scene there is a sunset in the back, which is called the background.",old_human,0.7803383030384966
"One man is listening in on another, and therefore cannot be playing chess with the second man.",old_human,0.610041305034421
because the boy is riding the bicycle doesn't mean he's having fun.,old_human,0.18457819776464054
The TV is in the background but this does not necessarily imply that the volume is turned on low.,old_human,0.3602250653407404
A man is walking and pushing a young child so he must be using a carriage.,old_human,0.24170598701246082
The man and woman are sharing a kiss because one of them is kissing the other person's cheek.,old_human,0.19675061933178056
Sand next to water does not necessarily imply a beach.,old_human,0.19981434983690605
The street doesn't have to be busy and might be empty.,old_human,0.2450947525786067
The woman is smiling because she is a smiling woman.,old_human,0.5836686288409142
"Cyclists ride bicycles, not horses.",old_human,0.4673968058002093
A man is playing by throwing his young boy into the air.,old_human,0.1773404687325426
Looking at the attraction would require the attention of the tourists.,old_human,0.5946201281690933
The group is skiing down slopes,old_human,0.2851265081757273
A girl cannot be washing a load of laundry while playing a violin.,old_human,0.3361327191361035
A man and girl playing a game can not be talking to the moon.,old_human,0.19964374600925636
Playing a card game does not imply it is a poker game.,old_human,0.258547412460418
The group is big because there are twenty five people in the group.,old_human,0.4424850944043622
"Sentence one describes a young boy with a colorful ball, sentence two supports the boy and a ball.",old_human,0.7107542806563397
No way to tell if the clothes are full of mud.,old_human,0.19695286027646303
Vampires wouldn't kiss underneath the bride's veil.,old_human,0.1871786162094484
The woman cannot get her face painted while she is surfing.,old_human,0.18404959742806326
One cannot infer that the men are late for work.,old_human,0.23948420485497696
The men sitting with refuse carts in front of them does not necessarily mean that they are cleaning.,old_human,0.23427985220449454
The woman is wearing an American military uniform in both sentences.,old_human,0.3588134396600205
A man is entertaining a crowd with a hula hoop need not necessarily be a performer.,old_human,0.37934460863585384
Someone strolling with a dog is walking their dog.,old_human,0.4347688062552974
Mr. and Mrs. Clause are having a photo taken with a young boy.,old_human,0.7849316346455185
The man and woman are either singing copies of books or giving out candy,old_human,0.22391147743944115
If the child is riding a bike in a city then he is riding on a street,old_human,0.3310562570601334
