premise,hypothesis,label,explanation,label_name
Two people standing next to a road looking off a hill.,Two people are outside.,0,people standing next to a road looking off a hill simply means they are outside.,entailment
People up form their seats with two TVs hanging up displaying a cruse ship,There are people watching TV,0,: People implies are people,entailment
A young boy climbing a tree in grassy hills.,A boy climbing a tree.,0,The boy is climbing a tree so he must be young.,entailment
A man in a black hat walks down the street.,The man is walking home.,1,We cannot know the destination to which the man is walking is home.,neutral
Five women in purple outfits wait outside.,the women are models,1,"anybody can wear an outfit, not just models",neutral
A couple is walking in a building.,A couple is both wearing blue,1,Not all couple walking in a building is both wearing blue.,neutral
Children getting picked up from sports practice.,children getting done with sports practice,0,The children would not be getting picked up from sports practice if they were not done.,entailment
A man in a cowboy hat leans backwards on the back of a rearing horse.,A horse rears and its handler leans back.,0,The back of a rearing horse implies the horse is rearing and the man is also considered the horse's handler.,entailment
A man is using his phone on a bus.,A man talking on a phone on a bus.,1,Using a phone doesn't necessarily mean that he was talking on it.,neutral
A man in a red shirt and a blue hat digs sand in front of a sand sculpture of a man sitting on a throne.,A man is creating a pathway to his sand sculpture.,1,Just because the man digs sand in front of a sand sculpture does not mean he is creating a pathway to his sculpture,neutral
A man watching his dog standing on a dead tree trunk.,A man is watching his dog.,0,A person can have his own dog,entailment
These people are demonstrating for their leader.,People are marching with signs.,1,Demonstrating for their leader does not mean that they are marching with signs.,neutral
A woman with a white purse walks across a gray platform in front of a tall building.,A woman goes to she her date for a meal.,1,Sometimes a woman is just walking not just for a date.,neutral
A homeless man stand between two pedestrians on a street corner.,The man is about to ask the people for change.,1,We can't tell the if the man is about to ask for change.,neutral
Man sets up a cart to sell his wares.,The man sells things to tourists by the beach.,1,A man can sell things without it being to tourists by the beach.,neutral
"Many people standing outside of Bank of America, one unknown person with a sign.",people need their money,1,"Just because many people stand outside of Bank of America, it doesn't mean they need their money.",neutral
"There is a woman, who is all dressed up in a beautiful multicolored tutu with a tiara, doing a split in midair for a performance.",A woman is wearing a crown and a brown skirt,2,A brown skirt would not be multicolored.,contradiction
"A man taking a picture of several people, including a man in a lime green suit.","A man taking a picture of several big people,",1,Not all people are big people.,neutral
An old man riding his bike along the harbor with a cruise liner in the background.,An old man rides a bike on a sunny day near the beach.,1,The day is not necessarily sunny.,neutral
East Asian woman with child holds drink glass.,A pregnant woman holds a glass.,0,If someone holds a glass you can say someone holds a drink glass,entailment
Three women dance down the city street.,three people are dancing.,1,"All inferred, women are people, dance means dancing.",neutral
A toddler boy being cute and pointing.,A baby has all it's fingers in it's mouth.,2,One cannot point with one's fingers in one's mouth.,contradiction
Two men both wearing cowboy hats and ponchos riding horses chasing a cow.,The men are chasing a pig,2,Two men riding horses and the men chasing apig,contradiction
Four children playing on a sculpture of a bear.,Old ladies are gathered for tea.,2,Children playing on a sculpture is not the same as old ladies gathered for tea.,contradiction
A young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,"A young child is outside, petting a deer.",0,deer resembles a baby,entailment
The man in the black shirt made the lady laugh.,The man told a funny joke.,1,Not all man in the black shirt made the lady laugh is because the man told a funny joke.,neutral
a tan dog jumping through the field with some barren trees in the background,a tan dog walking in the fields with some trees nearby,2,Jumping and wakling are different actions.,contradiction
A person in yellow pants and a black shirt is skiing down a hill.,A person in yellow pants and a black shirt is skiing down a hill and going fast,1,A person skiing down a hill could be going at varying speeds and may not be going fast,neutral
A man wearing red pants is balancing on a blue sculpture.,A man is balancing.,0,The man that is balancing is a rephrasing of a man wearing red pants that is balancing.,entailment
A woman is pushing a cart with luggage down a street.,A woman is at the airport.,1,If the woman can't be on a street and at the airport simultaneously.,neutral
The man with the big drum is marching next to a boy with a small drum.,"Two drummers, adult and child, march abreast.",0,The man is the adult that is marching abreast to a boy who is a child. Abreast means next to or beside of one another.,entailment
Man in a plaid shirt jumping on some rocks that make him appear to be soaring over a valley.,A man is on a bus,2,"If someone is jumping on some rocks, appearing to be soaring over a valley, then that person could not me on a bus.",contradiction
A child holds a pink kite in the middle of a pedestrian walkway while a man in a pink shirt and blue pants walks in the background.,The man and the child are standing in the desert.,2,holding and standing are different things,contradiction
A merchant in a red shirt sells produce at a farmers market in a park.,A clerk sells products at the market.,0,A MERCHANT IS A CLERK.  HE SELLS THE PRODUCTS OF PRODUCE.  THE MARKET IS A FARMERS MARKET.,entailment
A skateboarder becomes airborne at the top of a black and yellow ramp.,A skateboarder skates down a red rail.,2,The rail is red while the ramp is black and yellow.,contradiction
a little boy playing with his toys.,A little boy is playing with toys.,0,A boy has toys.,entailment
A lady and two elderly people are slicing cheese.,people are making dinner,1,"Slicing cheese could be a snack, not making dinner.",neutral
"A bride and groom during their wedding ceremony are surrounded by a crowd, in front of a brick building.",The nuptials took place outdoors in a garden.,1,Sentence 1 implies that the nuptials took place outside as it is in front of the building but it does not state that the ceremony occurred in a garden.,neutral
A man on the subway holds his bags and looks at a book.,The man is riding the subway.,0,A man holds bags while riding on the subway.,entailment
A graceful basketball player stands at the two point line as she throws the ball.,A basketball player takes a shot,0,A graceful basket player takes a shot stands at the two point line,entailment
A man in a black shirt is taking pictures in a crowd.,A photographer takes pictures of an event.,1,A man in a black shirt is taking pictures in a crowd does not mean he takes pictures of an event,neutral
An Asian couple kisses during their wedding.,The wedding was inside.,1,Not all weddings are inside.,neutral
A surfer rides a breaking wave.,A surfer eats some cereal.,2,The surfer cannot ride a breaking rave while he eats some cereal.,contradiction
The people in winter clothing are getting ready to start skiing.,The people are a family,1,The people are not necessarily a family.,neutral
Motorcyclists with white helmets in a parking lot.,There is a motorcyclist with a white helmet because that's the only helmet they own.,1,Wearing a white helmet does not imply it is the only helmet the biker owns.,neutral
A black dog is in the grass with a woman in jeans.,A black dog sits in the grass with its owner.,1,Just because a black dog is in the grass with a woman in jeans does not imply that dog sits with its owner,neutral
A man in an Easter Bunny costume is handing out candy to children.,A man is wearing a costume.,0,A man in a costume is wearing a costume.,entailment
"A motorcycle rider, with a black ""Glory Bound"" vest and black helmet, rides away on his orange motorcycle.",The motorcycle rider forgot his helmet.,2,"If the guy is in his black helmet, he couldn't have forgot the helmet.",contradiction
An individual in blue pants is standing on a step ladder while two others look in the same direction as the man on the ladder.,a man is pointing something out to them,1,Just because men are looking the same direction does not mean that someone is pointing something out to them.,neutral
A helmeted boy on a bike flies through the air as he rides among dirt hills with a river in the background.,they are sitting on a train,2,The boy can't be sitting on a train while he flies through the air.,contradiction
