explanation,group,llm_likeness
A police sign may sometimes ask for witnesses of crimes to come forward.,old_human,0.5392221134675813
"The man is window shopping, which is usually done in public.",old_human,0.4154779376395792
Cheering infront of children is the same as cheering near children.,old_human,0.09321167511170307
You can not infer they are watching TV.,old_human,0.004270348067773444
Just because the kangaroo is touched does not mean it wants to leave.,old_human,0.002241562544306237
Not all dogs jumping over the pole are participating in a competition. Not all dogs can take part in agility training.,old_human,0.04166828780857041
"To work at a computer, you must be in front of the computer.",old_human,0.17170778909864856
"If a man talks while holding a drink, he is holding a drink.",old_human,0.2725742161051972
A man laying on the ground doesn't mean that he is homeless.,old_human,0.03529468120094944
Every white house in front of which the man is performing need not be his own house,old_human,0.3562763568929584
"A dog is an animal, catching is a way of making contact, and a frisbee is a toy.",old_human,0.11329221082304028
People may not be nervous about riding on a ride.,old_human,0.02125554843849149
A woman does not imply that friends retire home.  Carrying food in baskets does not necessarily mean going to the farmer's market.,old_human,0.010260603470884908
We have no idea if she is cooking meat or something else.,old_human,0.016005940839444243
A man can lie down without sleeping.,old_human,0.09412882441362394
"Not every person climbs mountains, some are afraid and would not climb them.",old_human,0.023143623121736772
You cannot dance and be sleeping at the same time.,old_human,0.005231463557135647
Just because a boat is not moving does not mean it ran out of gas.,old_human,0.00060427022138638
"Not all gray shirts are t-shirts; just because a man has green things in his beard doesn't mean he drank too much beer or shouldn't drink a particular amount; we don't know whether he has even begun drinking, or whether he put the green things in his beard in the first place.",old_human,0.020184806220514988
Woman is lady.,old_human,0.3661749207290428
It not only a man who can take a photo.,old_human,0.027378917143819036
Either a teenager wears face paint or nobody has face paint.,old_human,0.18470400150746055
Hiking through the snow on a cold winter day can not happen at the same time as sunbathing on the beach.,old_human,0.13183242817622165
"If an animal is climbing a tree, it cannot also be walking in the grass.",old_human,0.028450528245277253
"A young boy is a child, and using a soccer ball implies playing.",old_human,0.1876202676560799
You can not infer her eyes are wide open.,old_human,0.028508156575430117
Having a break is a different activity than playing volleyball.,old_human,0.08960937870750202
People who are not professional photographers can use tripods.,old_human,0.012992072542121282
Holds a newspaper is a paraphrase of holding a newspaper.,old_human,0.35198867165404596
Children are sitting in chairs with a music stand in the background don't necessarily imply that the children are having fun at a birthday party.,old_human,0.5057197587611558
landscaping and gardening are ways of caring for lawns.,old_human,0.38962144353013317
"Army men are grill meat, and meat is an animal product.",old_human,0.294275958069065
The subject is either a man or woman.,old_human,0.039176617087164994
Crowd of people is a crwod.,old_human,0.2792681056455495
The woman cannot simultaneously be wearing tops / skirts and post-it notes / leaves. Women don't wear post-it notes and leaves,old_human,0.0678229472492194
The man eating a marshmallow while someone else wants a bite.,old_human,0.7181357511964136
Green things someone pulls out of his beard are not necessarily little green men. To hover over one's beer bottle and Guinness glass pulling green things out of one's beard does not necessarily imply too much drinking.,old_human,0.026212620646305296
Just because his jersey is on the chair does not mean he is wearing his sport jersey.,old_human,0.020687900652596954
"""running in the grass."" is inferred as ""runs in the grass""",old_human,0.3694836413607603
Waiting in a metro station implies indoors.,old_human,0.17692489243967766
The older man is not necessarily bathing his grandchild.,old_human,0.05779261363992675
Just because there are horses doesn't mean the both are brown.,old_human,0.008997996936371839
The woman cannot be stapling some papers and working on the computer simultaneously.,old_human,0.11728562805352512
