articleid,dataset,questionid,question,system,answer,annotationid,correct_label,complete_label,feedback,ebr_raw,ebr_num,workerid,split
50,inq,0,how do they listen?,davinci,They use seismometers.,0,correct,missing_major,"While factually correct, this is an incredibly lazy answer that misses key facts",Score: 20,20.0,5,train
50,inq,0,how do they listen?,davinci,They use seismometers.,1,correct,complete,The answer is correct and complete.,100,100.0,3,train
50,inq,0,how do they listen?,davinci,They use seismometers.,2,correct,complete,This machine response is marked as correct and mentioning all relevant information from the document. ,100,100.0,1,train
50,inq,0,how do they listen?,davinci,They use seismometers.,3,correct,missing_major,"This is technically correct, but misses a lot of detail",Score: 40,40.0,5,train
50,inq,0,how do they listen?,davinci,They use seismometers.,4,correct,complete,The answer is correct and complete.,100,100.0,3,train
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,0,correct,complete,This is a valid answer,100,100.0,5,train
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,1,correct,complete,Sentence 12-14 confirms the machine response. ,100,100.0,7,train
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,2,correct,complete,The answer is correct and complete.,100,100.0,3,train
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,3,correct,complete,This machine response is marked as correct and mentioning all relevant information from the document.,100,100.0,1,train
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,4,correct,complete,This is a valid answer,100,100.0,5,train
50,inq,0,how do they listen?,text-davinci-003_few_shot,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,0,correct,complete,This is a sufficient answer,100,100.0,5,train
50,inq,0,how do they listen?,text-davinci-003_few_shot,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,1,correct,complete,Seismometers are used to measure waves.,100,100.0,3,train
50,inq,0,how do they listen?,text-davinci-003_few_shot,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,2,irrelevant,missing_major,"The response missed the ways they recognized the noises, as per sentences 10,11,12,13,14.",Score: 50,50.0,1,train
50,inq,0,how do they listen?,text-davinci-003_few_shot,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,3,correct,complete,Sentences 13 and 14 contain the relevant info to answer the question and the answer appropriately uses this information in its response.,100,100.0,6,train
50,inq,0,how do they listen?,text-davinci-003_zero_shot," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",0,correct,complete,This is a valid answer,100,100.0,5,train
50,inq,0,how do they listen?,text-davinci-003_zero_shot," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",1,irrelevant,complete,Machine response added information not present in the article. Article did not explain what a seismometer was but the machine response included that information.,100,100.0,0,train
50,inq,0,how do they listen?,text-davinci-003_zero_shot," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",2,correct,complete,The question is answered sufficiently,100,100.0,5,train
50,inq,0,how do they listen?,text-davinci-003_zero_shot," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",3,correct,complete,The answer is correct and complete.,100,100.0,3,train
50,inq,0,how do they listen?,text-davinci-003_zero_shot," Scientists use seismometers to listen for the bigger waves created by quakes. Seismometers are instruments that measure and record the motion of the ground, including those created by earthquakes. The seismic waves created by ocean waves interfere with the seismometers' ability to detect the bigger waves created by quakes.",4,correct,complete,The answer is correct and complete.,100,100.0,3,train
50,inq,1,why do ocean waves get in the way?,davinci,The answer is that ocean waves are not in the way. Ocean waves are used to simulate the ground motion that occurs in real earthquakes.,0,irrelevant,missing_all,The real answer was missed in the article,0,0.0,5,train
50,inq,1,why do ocean waves get in the way?,davinci,The answer is that ocean waves are not in the way. Ocean waves are used to simulate the ground motion that occurs in real earthquakes.,1,correct,complete,Researchers once thought the waves got in the way but they have found a way to use them to their advantage.,100,100.0,3,train
50,inq,1,why do ocean waves get in the way?,davinci,The answer is that ocean waves are not in the way. Ocean waves are used to simulate the ground motion that occurs in real earthquakes.,2,irrelevant,missing_all,The response is incorrect. The correct answer is stated in sentence 2.,Score: 0,0.0,1,train
50,inq,1,why do ocean waves get in the way?,davinci,The answer is that ocean waves are not in the way. Ocean waves are used to simulate the ground motion that occurs in real earthquakes.,3,correct,complete,This simple answer fits with the overall theme of the article,100,100.0,5,train
50,inq,1,why do ocean waves get in the way?,davinci,The answer is that ocean waves are not in the way. Ocean waves are used to simulate the ground motion that occurs in real earthquakes.,4,correct,complete,The answer is correct and complete.,100,100.0,3,train
50,inq,1,why do ocean waves get in the way?,gpt4,Ocean waves get in the way because they create tiny seismic waves that interfere with researchers' efforts to listen for the bigger waves created by earthquakes.,0,correct,complete,This is a valid answer based on the text,100,100.0,5,train
50,inq,1,why do ocean waves get in the way?,gpt4,Ocean waves get in the way because they create tiny seismic waves that interfere with researchers' efforts to listen for the bigger waves created by earthquakes.,1,correct,complete,The answer is correct and complete.,100,100.0,3,train
50,inq,1,why do ocean waves get in the way?,gpt4,Ocean waves get in the way because they create tiny seismic waves that interfere with researchers' efforts to listen for the bigger waves created by earthquakes.,2,correct,missing_minor,"In addition to the machine response, sentence 4 provides information on how the earthquake causes shaking which in turn affects the seismic waves that interferes with researchers work. ",Score: 60,60.0,7,train
