articleid,dataset,questionid,question,system,answer,annotationid,correct_label,complete_label,feedback,ebr_raw,ebr_num,workerid
50,inq,0,how do they listen?,davinci,They use seismometers.,0,correct,missing_major,"While factually correct, this is an incredibly lazy answer that misses key facts",Score: 20,20,5
50,inq,0,how do they listen?,davinci,They use seismometers.,1,correct,complete,The answer is correct and complete.,100,100,3
50,inq,0,how do they listen?,davinci,They use seismometers.,2,correct,complete,This machine response is marked as correct and mentioning all relevant information from the document. ,100,100,1
50,inq,0,how do they listen?,davinci,They use seismometers.,3,correct,missing_major,"This is technically correct, but misses a lot of detail",Score: 40,40,5
50,inq,0,how do they listen?,davinci,They use seismometers.,4,correct,complete,The answer is correct and complete.,100,100,3
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,0,correct,complete,This is a valid answer,100,100,5
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,1,correct,complete,Sentence 12-14 confirms the machine response. ,100,100,7
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,2,correct,complete,The answer is correct and complete.,100,100,3
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,3,correct,complete,This machine response is marked as correct and mentioning all relevant information from the document.,100,100,1
50,inq,0,how do they listen?,gpt4,Researchers listen for the bigger waves created by quakes by using seismometers. These devices measure the weak seismic waves that function as proxies for the seismic waves created by earthquakes.,4,correct,complete,This is a valid answer,100,100,5
50,inq,0,how do they listen?,text-davinci-003_few_shot,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,0,correct,complete,This is a sufficient answer,100,100,5
50,inq,0,how do they listen?,text-davinci-003_few_shot,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,1,correct,complete,Seismometers are used to measure waves.,100,100,3
50,inq,0,how do they listen?,text-davinci-003_few_shot,Researchers use seismometers to measure the weak seismic waves created by ocean waves. These waves can be used to simulate the ground motion that occurs in real earthquakes.,2,irrelevant,missing_major,"The response missed the ways they recognized the noises, as per sentences 10,11,12,13,14.",Score: 50,50,1
